cliente_id,nome,segmento,cidade,estado,pais,codigo_postal,mercado,regiao
RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024.0,US,East
JR-16210,Justin Ritter,Corporate,Wollongong,New South Wales,Australia,,APAC,Oceania
CR-12730,Craig Reiter,Consumer,Brisbane,Queensland,Australia,,APAC,Oceania
KM-16375,Katherine Murray,Home Office,Berlin,Berlin,Germany,,EU,Central
RH-9495,Rick Hansen,Consumer,Dakar,Dakar,Senegal,,Africa,Africa
JM-15655,Jim Mitchum,Corporate,Sydney,New South Wales,Australia,,APAC,Oceania
TS-21340,Toby Swindell,Consumer,Porirua,Wellington,New Zealand,,APAC,Oceania
MB-18085,Mick Brown,Consumer,Hamilton,Waikato,New Zealand,,APAC,Oceania
JW-15220,Jane Waco,Corporate,Sacramento,California,United States,95823.0,US,West
JH-15985,Joseph Holt,Consumer,Concord,North Carolina,United States,28027.0,US,South
GM-14695,Greg Maxwell,Corporate,Alexandria,Virginia,United States,22304.0,US,South
AJ-10780,Anthony Jacobs,Corporate,Kabul,Kabul,Afghanistan,,APAC,Central Asia
MM-7260,Magdelene Morse,Consumer,Jizan,Jizan,Saudi Arabia,,EMEA,EMEA
VF-21715,Vicky Freymann,Home Office,Toledo,Parana,Brazil,,LATAM,South
PF-19120,Peter Fuller,Consumer,Mudanjiang,Heilongjiang,China,,APAC,North Asia
BP-11185,Ben Peterman,Corporate,Paris,Ile-de-France,France,,EU,Central
TB-21175,Thomas Boland,Corporate,Henderson,Kentucky,United States,42420.0,US,South
PJ-18835,Patrick Jones,Corporate,Prato,Tuscany,Italy,,EU,South
JS-15685,Jim Sink,Corporate,Townsville,Queensland,Australia,,APAC,Oceania
RH-9555,Ritsa Hightower,Consumer,Uvinza,Kigoma,Tanzania,,Africa,Africa
AB-600,Ann Blume,Corporate,Bytom,Silesia,Poland,,EMEA,EMEA
SA-20830,Sue Ann Reed,Consumer,Chicago,Illinois,United States,60610.0,US,Central
JK-15325,Jason Klamczynski,Corporate,Suzhou,Anhui,China,,APAC,North Asia
LB-16795,Laurel Beltran,Home Office,Edinburgh,Scotland,United Kingdom,,EU,North
NP-18325,Naresj Patel,Consumer,Juárez,Chihuahua,Mexico,,LATAM,North
VD-21670,Valerie Dominguez,Consumer,Soyapango,San Salvador,El Salvador,,LATAM,Central
PB-19210,Phillip Breyer,Corporate,Taipei,Taipei City,Taiwan,,APAC,North Asia
EB-14110,Eugene Barchas,Consumer,Leipzig,Saxony,Germany,,EU,Central
KF-16285,Karen Ferguson,Home Office,Los Angeles,California,United States,90008.0,US,West
BP-11230,Benjamin Patterson,Consumer,Surat,Gujarat,India,,APAC,Central Asia
RR-19525,Rick Reed,Corporate,Santo Domingo,Santo Domingo,Dominican Republic,,LATAM,Caribbean
BS-11365,Bill Shonely,Corporate,Saint-Brieuc,Brittany,France,,EU,Central
JE-15745,Joel Eaton,Consumer,Amarillo,Texas,United States,79109.0,US,Central
DP-13105,Dave Poirier,Corporate,Gold Coast,Queensland,Australia,,APAC,Oceania
NP-18700,Nora Preis,Consumer,Fresno,California,United States,93727.0,US,West
AH-30,Aaron Hawkins,Corporate,Kamina,Katanga,Democratic Republic of the Congo,,Africa,Africa
DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009.0,US,East
GT-14635,Grant Thornton,Corporate,Burlington,North Carolina,United States,27217.0,US,South
PO-18865,Patrick O'Donnell,Consumer,Stockton-on-Tees,England,United Kingdom,,EU,North
DL-12865,Dan Lawera,Consumer,Brisbane,Queensland,Australia,,APAC,Oceania
JB-16000,Joy Bell-,Consumer,Mataram,Nusa Tenggara Barat,Indonesia,,APAC,Southeast Asia
BF-11005,Barry Franz,Home Office,Gorakhpur,Haryana,India,,APAC,Central Asia
VG-21805,Vivek Grady,Corporate,Thiruvananthapuram,Kerala,India,,APAC,Central Asia
GT-14710,Greg Tran,Consumer,Huddersfield,England,United Kingdom,,EU,North
ZC-21910,Zuschuss Carroll,Consumer,Berlin,Berlin,Germany,,EU,Central
SC-20095,Sanjit Chand,Consumer,Minneapolis,Minnesota,United States,55407.0,US,Central
EB-13840,Ellis Ballard,Corporate,Montreuil,Ile-de-France,France,,EU,Central
AP-10915,Arthur Prichep,Consumer,Shouguang,Shandong,China,,APAC,North Asia
SW-20275,Scott Williamson,Consumer,Jamshedpur,Jharkhand,India,,APAC,Central Asia
JH-15820,John Huston,Consumer,Paysandú,Paysandú,Uruguay,,LATAM,South
LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009.0,US,East
TG-11640,Trudy Glocke,Consumer,Behshahr,Mazandaran,Iran,,EMEA,EMEA
HR-14830,Harold Ryan,Corporate,Huntington Beach,California,United States,92646.0,US,West
DG-3300,Deirdre Greer,Corporate,Maputo,Cidade De Maputo,Mozambique,,Africa,Africa
SG-20470,Sheri Gordon,Consumer,Bhopal,Madhya Pradesh,India,,APAC,Central Asia
FH-14365,Fred Hopkins,Corporate,Seattle,Washington,United States,98115.0,US,West
GP-14740,Guy Phonely,Corporate,Delhi,Delhi,India,,APAC,Central Asia
MW-18220,Mitch Webber,Consumer,Geraldton,Western Australia,Australia,,APAC,Oceania
PO-18850,Patrick O'Brill,Consumer,Tallahassee,Florida,United States,32303.0,US,South
CS-12460,Chuck Sachs,Consumer,Dhaka,Dhaka,Bangladesh,,APAC,Central Asia
KD-16495,Keith Dawkins,Corporate,New York City,New York,United States,10024.0,US,East
MS-17980,Michael Stewart,Corporate,Munster,Lower Saxony,Germany,,EU,Central
KC-16675,Kimberly Carter,Corporate,Celle,Lower Saxony,Germany,,EU,Central
DB-13405,Denny Blanton,Consumer,Wuxi,Jiangsu,China,,APAC,North Asia
JD-15895,Jonathan Doherty,Corporate,Richmond,Virginia,United States,23223.0,US,South
DK-13090,Dave Kipp,Consumer,Seville,Andalusía,Spain,,EU,South
CS-11845,Cari Sayre,Corporate,Raipur,Uttarakhand,India,,APAC,Central Asia
EM-14200,Evan Minnotte,Home Office,Gómez Palacio,Durango,Mexico,,LATAM,North
DW-3480,Dianna Wilson,Home Office,Kharkiv,Kharkiv,Ukraine,,EMEA,EMEA
AS-10225,Alan Schoenberger,Corporate,Jinan,Shandong,China,,APAC,North Asia
ST-20530,Shui Tom,Consumer,Chinandega,Chinandega,Nicaragua,,LATAM,Central
BW-1065,Barry Weirich,Consumer,Kananga,Kasai-Occidental,Democratic Republic of the Congo,,Africa,Africa
LA-16780,Laura Armstrong,Corporate,Palembang,Sumatera Selatan,Indonesia,,APAC,Southeast Asia
AB-10150,Aimee Bixby,Consumer,London,England,United Kingdom,,EU,North
CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,United States,30318.0,US,South
BE-11410,Bobby Elias,Consumer,Duisburg,North Rhine-Westphalia,Germany,,EU,Central
SZ-20035,Sam Zeldin,Home Office,Nanchong,Sichuan,China,,APAC,North Asia
RM-19375,Raymond Messe,Consumer,Naihati,West Bengal,India,,APAC,Central Asia
HG-14845,Harry Greene,Consumer,Lille,Nord-Pas-de-Calais,France,,EU,Central
DP-3105,Dave Poirier,Corporate,Meknes,Meknès-Tafilalet,Morocco,,Africa,Africa
AR-10540,Andy Reiter,Consumer,Jackson,Michigan,United States,49201.0,US,Central
TP-21415,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,19134.0,US,East
AM-10705,Anne McFarland,Consumer,Bandung,Jawa Barat,Indonesia,,APAC,Southeast Asia
AB-255,Alejandro Ballentine,Home Office,Casablanca,Grand Casablanca,Morocco,,Africa,Africa
RP-19270,Rachel Payne,Corporate,Sydney,New South Wales,Australia,,APAC,Oceania
BK-11260,Berenike Kampe,Consumer,Tongi,Dhaka,Bangladesh,,APAC,Central Asia
JM-15250,Janet Martin,Consumer,Suzhou,Anhui,China,,APAC,North Asia
LW-16990,Lindsay Williams,Corporate,Henderson,Nevada,United States,89015.0,US,West
